movie_title,review
쥬라기 월드: 새로운 시작,미친나미나
쥬라기 월드: 새로운 시작,정상인 없음. 공룡도 너무 멍청하고 답답함. 긴장감도 없고 에초에 죽는사람도 별로 없음. 그리고 스칼렛요한슨은 이제 스칼렛요한슨 역에서 좀 벗어나주세요.
쥬라기 월드: 새로운 시작,레오
쥬라기 월드: 새로운 시작,착하게 사는 자에겐 생명의 복이 오나니..
쥬라기 월드: 새로운 시작,상냥한_김선호_290404
쥬라기 월드: 새로운 시작,"초반 전개가 매우 늘어지고
내용이 진부하다"
쥬라기 월드: 새로운 시작,놀슈
쥬라기 월드: 새로운 시작,"쥬월 시리즈 중에 가장 쥬공에 가까운 영화.
그래서 가장 나았지만 너무 슴슴해서 아쉬웠다."
명탐정 코난: 척안의 잔상,스마일
명탐정 코난: 척안의 잔상,추리는 어디에..
명탐정 코난: 척안의 잔상,도경자
명탐정 코난: 척안의 잔상,작년 꺼보다 더 재밌게 봤음 나가노 좋아하면 꼭 봐야함 ㅠㅠㅠㅠㅠㅠㅜ 감동 포인트도 많고 중간중간 코믹도 적절하게 들어감
명탐정 코난: 척안의 잔상,포인터싫어
명탐정 코난: 척안의 잔상,"오랜만에 허당스러운 유명한이 아닌, 오래전 카리스마 있는 경시청 유명한으로"
명탐정 코난: 척안의 잔상,즐거운_엠마스톤_963264
명탐정 코난: 척안의 잔상,라이트 관람층에게 너무 불친절
명탐정 코난: 척안의 잔상,.
명탐정 코난: 척안의 잔상,.
명탐정 코난: 척안의 잔상,쩡이썬이
명탐정 코난: 척안의 잔상,모리의 색다른 면을 봐서 그걸로 충분히 만족
명탐정 코난: 척안의 잔상,ㄷㄴㅂ
명탐정 코난: 척안의 잔상,천천히 커지다 몰아치는 눈보라 폭풍을 보는 재미
명탐정 코난: 척안의 잔상,도도한_567681
명탐정 코난: 척안의 잔상,"오랜만에 본 코난
긴장감 넘치고 재미있다 
추천"
명탐정 코난: 척안의 잔상,라파엘
명탐정 코난: 척안의 잔상,"기억과 윤리, 국가와 존엄을 천문학적 상징으로 엮어낸 이 작품은, 인간다움이란 무엇인가에 대한 조용하고 깊은 성찰이다."
명탐정 코난: 척안의 잔상,영화의순간들
명탐정 코난: 척안의 잔상,흐릿한 잔상 속에 파묻힌 그날의 진상을 밝힐 회심의 한 발.
괴기열차,귀여운_침착맨_569931
괴기열차,"이걸 안본 사람이
승리자"
괴기열차,도도한 스필버그_54099
괴기열차,"올해 극장에서 본 최악의 영화
약 먹고 시나리오쓴거 같다.
연출도 학생이 한거 같다."
괴기열차,도도한_아이유_894875
괴기열차,노이즈보다 열배 재미
괴기열차,로니
괴기열차,창의력은 전혀 없고 그저 진부하고 구리다.
괴기열차,Voyant
괴기열차,"공포영화에서 유치함을 느끼는건 너무나 치명타다. 
그것도 어의없게도 대사와 연기연출 부분에서"
괴기열차,낯선사람
괴기열차,한국영화가 왜 망해가고 있는지 보여준다.
괴기열차,마뮤렌
괴기열차,터를 잘 잡아야한다는 옛말이 틀리지 않았다
괴기열차,해바라기
괴기열차,빨간불 10% 받을 영화는 아니라고 생각되는 영화다 노이즈보단 잘 만들었다.
괴기열차,상추재배
괴기열차,이미 우리나라에 이런 영화가 많이 있고 심지어 재미도 없는데 왜 똑같은게 계속 생산될까. 하나의 컨셉을 가지지 않고 재밌을 것 같은거는 다 끼워놓고 뭐 하나 걸려라는 이제 안통한다
괴기열차,라씨에이
괴기열차,7.6/공포는 몰라도 괴기는 끝까지 실은 채로 그럭저럭 목적지까지 도달하는 이름값은 하는 열차.
알라딘,LAON
알라딘,너무 재미있게 봤던 알라딘!  영상미도 훌륭하고 배우들연기 갓벽하고 음악들도 너무 좋았다 더군다나 지니는 진짜완벽했다👍
알라딘,사과
알라딘,"영화 <알라딘>을 봤다. 처음봤을때, 외국인 관크를 당해서 본건지 안본건지 싶었으나 물리적인 시간정황상 봤기 때문에 할말이 없구나 하고 자파가 제일 잘생겼고, 앵무새 이아고가 제일..."
알라딘,보문동꿀주먹
알라딘,캐스팅 좋고~ 노래도 좋지만~ 제발 원작을 비트는 건 적당히 해줘!
알라딘,서현
알라딘,진짜 완전 인생작..
알라딘,행복
알라딘,"지금까지도 잊혀지지 않는 ost들..!!
한때 인생작이었던 만큼 명작입니다"
알라딘,프로무인러
알라딘,실사화를 정말 잘했다고 생각하는 작품...
알라딘,톰홀랜드
알라딘,어떻게 이렇게 캐스팅을 잘해...? 지금과 비교되는 재미와 완성도 캐스팅..
알라딘,이오더매드문
알라딘,"한줄평
- 싱잉랩도 잘하는 윌 스미스"
알라딘,박성현
알라딘,디즈니 고전 애니메이션의 실사는 항상 원작에서 따온 부분과 그렇지 않은 부분의 위화감이 문제가 된다. 알라딘도 그런 면에서 피해갈 순 없었지만 그래도 윌 스미스의 지니와 나오미 스...
알라딘,쀼쇼숑
알라딘,"디즈니가 이렇게만 계속 만들면 좋겠음
너무 좋은 실사화임"
전지적 참견 시점,아이스크림
전지적 참견 시점,과연 리얼일까.
전지적 참견 시점,톰홀랜드
전지적 참견 시점,내 밥친구
전지적 참견 시점,영화라흥해라흥
전지적 참견 시점,매니저들 위주로  하던 과거는 신선했다 매니저가 스타를 케어하고 그들의 직업도 이해하고 이젠 그런게 전혀 없고 게스트들 나와서 홍보하러 나온 느낌
전지적 참견 시점,고앵씨
전지적 참견 시점,"지디 콘서트에 윙이 나오면서 근래들어 오랜만에봤다
본연의 취지에맞게 매니져와 아티스트 둘의케미를 보여주는 모습이 근본다웠다"
전지적 참견 시점,내우주에길이남길
전지적 참견 시점,"매니저와 스타할때는 재미밌었는데 요샌 뭔가 식상...
다른프로와 차이점이 없는듯...
다 똑같은 느낌..."
전지적 참견 시점,홀씨닷컴
전지적 참견 시점,"아직도 이딴게 예능으로 방영하다니 ㅉㅉ
영상만보고 편안하게 앉아서 돈만 버는 예능 안지겹냐?
남 잘사는거 우리가 왜 봐야하는데?"
